vin,list_price,sale_price,list_date,sale_date,cost_price,model_id,salesperson_id,dealership_id
XT4UE11DXBLA12269,46934,45891,2021-01-01,2021-01-01,41719,2400,110,2004
XT4GE41RXBLA17299,46107,45083,2021-04-25,2021-04-30,40984,2400,110,2004
XT4GE21RXBLA24307,47629,46571,2021-05-21,2021-05-25,42337,2400,104,2002
XT4UE11DXBLA12349,45410,44400,2021-03-01,2021-03-01,40364,2400,104,2002
XT4GE61RXBLA15428,40804,39897,2021-04-25,2021-05-02,36270,2400,107,2000
XT4GE11RXBLA13261,45478,44468,2021-07-29,2021-07-29,40425,2400,101,2001
XT4GE21RXBLA14313,41205,40289,2021-07-29,2021-09-12,36627,2400,101,2001
XT4GE21RXBLA14263,52850,51675,2021-01-01,2021-02-01,46977,2400,110,2004
XT4UE11DXBLA12277,44238,43255,2021-04-25,2021-04-26,39323,2400,110,2004
XT4UE11DXBLA12306,45401,44392,2021-04-25,2021-04-27,40356,2400,107,2000
XT4UE11DXBLA12290,42368,41426,2021-01-01,2021-01-01,37660,2400,107,2000
XT4UE11DXBLA12346,44762,43768,2021-05-21,2021-05-23,39789,2400,101,2001
XT4GE21RXBLA24304,48551,47472,2021-05-21,2021-05-26,43156,2400,101,2001
XT4GE61RXBLA15381,45088,44086,2021-07-29,2021-07-29,40079,2400,101,2001
XT4GE61RXBLA15283,42090,41154,2021-03-15,2021-03-14,37413,2400,107,2000
XT4GE61RXBLA15362,42956,42002,2021-03-15,2021-03-15,38183,2400,110,2004
XT4GE61RXBLA15289,46491,45458,2021-04-01,2021-04-01,41325,2400,104,2002
XT4GE61RXBLA15311,41713,40786,2021-02-01,2021-02-15,37078,2400,101,2001
XT4GE41RXBLA27296,41751,40823,2021-04-25,2021-05-06,37112,2400,104,2002
XT4GE41RXBLA17278,42231,41293,2021-05-21,2021-05-21,37539,2400,107,2000
XT4GE21RXBLA14321,40900,39991,2021-07-29,2021-07-29,36356,2400,101,2001
XT4GE71RXBLA16281,41788,40860,2021-07-29,2021-07-29,37145,2400,101,2001
XT4UE11DXBLA12354,42898,41945,2021-01-01,2021-01-01,38132,2400,107,2000
XT4GE61RXBLA15304,41042,40130,2021-03-15,2021-03-16,36481,2400,104,2002
XT4GE41RXBLA17288,41642,40717,2021-04-25,2021-04-30,37016,2400,110,2004
XT4GE21RXBLA14301,47630,46572,2021-05-21,2021-05-21,42338,2400,104,2002
XT4UE11DXBLA12286,46209,45182,2021-07-29,2021-07-29,41074,2400,109,2002
XT4GE21RXBLA24289,46077,45053,2021-01-01,2021-01-01,40957,2400,106,2005
XT4GE41RXBLA17302,50332,49213,2021-04-25,2021-04-26,44739,2400,106,2005
XT4GE21RXBLA14318,44675,43682,2021-01-01,2021-02-02,39711,2400,110,2004
XT4GE71RXBLA16300,44167,43186,2021-01-01,2021-01-01,39260,2400,107,2000
XT4GE61RXBLA15293,50102,48989,2021-02-01,2021-02-15,44535,2400,112,2005
XT4GE71RXBLA26268,48743,47660,2021-06-01,2021-06-05,43327,2400,104,2002
XT4GE61RXBLA15270,53374,52188,2021-06-01,2021-06-01,47443,2400,102,2004
XT4GE61RXBLA15338,43961,42984,2021-06-01,2021-06-01,39076,2400,105,2000
XT4GE21RXBLA14323,44511,43522,2021-06-01,2021-06-01,39566,2400,108,2003
XT4GE61RXBLA15376,45660,44645,2021-04-25,2021-04-29,40586,2400,102,2004
XT4GE41RXBLA17290,45876,44856,2021-04-25,2021-04-25,40778,2400,111,2003
XT4GE11RXBLA13269,47050,46005,2021-02-01,2021-02-15,41823,2400,106,2005
XT4GE11RXBLA13266,48099,47030,2021-04-25,2021-05-04,42755,2400,105,2000
XT4UE11DXBLA12339,44323,43338,2021-07-29,2021-07-29,39398,2400,107,2000
XT4GE21RXBLA14274,42597,41650,2021-03-15,2021-03-15,37864,2400,104,2002
XT4GE21RXBLA14316,50824,49695,2021-03-15,2021-03-15,45177,2400,103,2001
XT4GE61RXBLA15335,49045,47955,2021-01-01,2021-01-04,43595,2400,112,2005
XT4GE61RXBLA25444,49381,48284,2021-04-25,2021-05-02,43894,2400,110,2004
XT4GE41RXBLA17318,49679,48575,2021-07-29,2021-07-29,44159,2400,104,2002
XT4GE21RXBLA14304,45480,44469,2021-07-29,2021-07-29,40426,2400,109,2002
XT4GE61RXBLA15280,41585,40661,2021-01-01,2021-01-21,36965,2400,111,2003
